# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   88       3.086823665232e-10       7.802640977620e-14      -2.026067346384e-12       0.000000000000e+00       1.500998464791e-11       2.003734936796e-12      -1.100292834485e-14 
   89       3.124111747724e-10       8.006542808469e-14      -2.107347660576e-12       0.000000000000e+00       1.458733917782e-11       1.956855110217e-12      -1.087714244072e-14 
   90       3.161713489877e-10       8.210572675828e-14      -2.189454339933e-12       0.000000000000e+00       1.418067516456e-11       1.911590351348e-12      -1.071471488740e-14 
   91       3.199624317086e-10       8.414606570205e-14      -2.272362732537e-12       0.000000000000e+00       1.378880645043e-11       1.867825065288e-12      -1.052021994000e-14 
   92       3.237837010038e-10       8.618521274874e-14      -2.356049301453e-12       0.000000000000e+00       1.341028860762e-11       1.825416472948e-12      -1.029875789755e-14 
   93       3.276344283485e-10       8.822183478160e-14      -2.440483617420e-12       0.000000000000e+00       1.304376166992e-11       1.784230459879e-12      -1.005548223249e-14 
   94       3.315147209023e-10       9.025414925874e-14      -2.525602783283e-12       0.000000000000e+00       1.268905655592e-11       1.744257349421e-12      -9.794066625632e-15 
   95       3.354247858314e-10       9.228022268399e-14      -2.611333294939e-12       0.000000000000e+00       1.234623942902e-11       1.705511870087e-12      -9.518034390448e-15 
   96       3.393646651557e-10       9.429807616743e-14      -2.697598757372e-12       0.000000000000e+00       1.201527093594e-11       1.667997473215e-12      -9.231234372754e-15 
   97       3.433342282629e-10       9.630568534437e-14      -2.784319854672e-12       0.000000000000e+00       1.169600216448e-11       1.631705890061e-12      -8.937849444006e-15 
   98       3.473331644236e-10       9.830098029434e-14      -2.871414320047e-12       0.000000000000e+00       1.138817060117e-11       1.596616688894e-12      -8.642404994602e-15 
   99       3.513609753065e-10       1.002818454601e-13      -2.958796905848e-12       0.000000000000e+00       1.109139608903e-11       1.562696832083e-12      -8.349777427190e-15 
  100       3.554169674925e-10       1.022461195666e-13      -3.046379353577e-12       0.000000000000e+00       1.080517678523e-11       1.529900233192e-12      -8.065202649970e-15 
  101       3.595002449903e-10       1.041915955401e-13      -3.134070363911e-12       0.000000000000e+00       1.052888511884e-11       1.498167314073e-12      -7.794284570001e-15 
  102       3.636097017505e-10       1.061160204269e-13      -3.221775566716e-12       0.000000000000e+00       1.026176374852e-11       1.467424561955e-12      -7.543003586499e-15 
