# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  133       5.002373517207e-10       1.464687558457e-13      -5.544812486661e-12       7.687489001436e-16       4.991882101998e-12       8.312224685581e-13      -5.141897852657e-15 
  134       5.047583735439e-10       1.468835898948e-13      -5.595145056964e-12       7.810269844383e-16       4.887760129981e-12       8.176704464677e-13      -5.071263045313e-15 
  135       5.092757125333e-10       1.472341369282e-13      -5.643183305480e-12       7.934281410423e-16       4.786509613272e-12       8.044482759154e-13      -5.002456769182e-15 
  136       5.137882466607e-10       1.475201609556e-13      -5.688865870665e-12       8.059534120933e-16       4.688072665578e-12       7.915480109838e-13      -4.935287843668e-15 
  137       5.182947880761e-10       1.477415006299e-13      -5.732132210675e-12       8.186038568836e-16       4.592376471630e-12       7.789597579348e-13      -4.869545614978e-15 
  138       5.227940815513e-10       1.478980709354e-13      -5.772922641337e-12       8.313805519905e-16       4.499332923390e-12       7.666716275691e-13      -4.804999533168e-15 
  139       5.272848029237e-10       1.479898648763e-13      -5.811178374135e-12       8.442845914057e-16       4.408838256270e-12       7.546696875850e-13      -4.741398729192e-15 
  140       5.317655575401e-10       1.480169551650e-13      -5.846841554183e-12       8.573170866647e-16       4.320772685333e-12       7.429379149377e-13      -4.678471591943e-15 
  141       5.362348787005e-10       1.479794959108e-13      -5.879855298204e-12       8.704791669773e-16       4.235000041516e-12       7.314581481984e-13      -4.615925345307e-15 
  142       5.406912261016e-10       1.478777243081e-13      -5.910163732504e-12       8.837719793566e-16       4.151367407831e-12       7.202100399138e-13      -4.553445625204e-15 
  143       5.451329842810e-10       1.477119623248e-13      -5.937712030958e-12       8.971966887490e-16       4.069704755583e-12       7.091710089649e-13      -4.490696056635e-15 
  144       5.495585925319e-10       1.474826275428e-13      -5.962446775580e-12       9.107543608877e-16       3.989860594674e-12       6.983211312183e-13      -4.427388007116e-15 
  145       5.539669523677e-10       1.471902633187e-13      -5.984316998157e-12       9.244455975630e-16       3.911813653668e-12       6.876584554598e-13      -4.363498490249e-15 
  146       5.583570574565e-10       1.468355148202e-13      -6.003273313982e-12       9.382708654735e-16       3.835571569593e-12       6.771851138732e-13      -4.299073040518e-15 
  147       5.627278649638e-10       1.464191218664e-13      -6.019267647952e-12       9.522306097344e-16       3.761135707083e-12       6.669025002443e-13      -4.234157446439e-15 
  148       5.670782947519e-10       1.459419206688e-13      -6.032253274399e-12       9.663252533330e-16       3.688501001564e-12       6.568112507005e-13      -4.168797730923e-15 
  149       5.714072285790e-10       1.454048455725e-13      -6.042184856922e-12       9.805551965846e-16       3.617655802443e-12       6.469112244519e-13      -4.103040131632e-15 
  150       5.757135092985e-10       1.448089307973e-13      -6.049018488218e-12       9.949208165880e-16       3.548581716298e-12       6.372014845308e-13      -4.036931081339e-15 
  151       5.799959400588e-10       1.441553121781e-13      -6.052711729916e-12       1.009422466681e-15       3.481253450067e-12       6.276802785318e-13      -3.970517188290e-15 
  152       5.842532835023e-10       1.434452289069e-13      -6.053223652406e-12       1.024060475898e-15       3.415638654237e-12       6.183450193526e-13      -3.903845216558e-15 
  153       5.884842609647e-10       1.426800252728e-13      -6.050514874672e-12       1.038835148421e-15       3.351697766031e-12       6.091922659337e-13      -3.836962066406e-15 
  154       5.926875516748e-10       1.418611524038e-13      -6.044547604121e-12       1.053746763041e-15       3.289383852599e-12       6.002177039985e-13      -3.769914754643e-15 
  155       5.968617919532e-10       1.409901700073e-13      -6.035285676419e-12       1.068795572611e-15       3.228642454207e-12       5.914161267939e-13      -3.702750394988e-15 
  156       6.010055744123e-10       1.400687481113e-13      -6.022694595321e-12       1.083981803502e-15       3.169411427425e-12       5.827814158300e-13      -3.635516178424e-15 
  157       6.051174471552e-10       1.390986688057e-13      -6.006741572502e-12       1.099305655056e-15       3.111620788317e-12       5.743065216206e-13      -3.568259353559e-15 
  158       6.091959129753e-10       1.380818279827e-13      -5.987395567385e-12       1.114767299048e-15       3.055192555630e-12       5.659834444232e-13      -3.501027206985e-15 
  159       6.132394285556e-10       1.370202370783e-13      -5.964627326982e-12       1.130366879135e-15       3.000040593981e-12       5.578032149793e-13      -3.433867043638e-15 
  160       6.172464036680e-10       1.359160248130e-13      -5.938409425716e-12       1.146104510318e-15       2.946070457048e-12       5.497558752545e-13      -3.366826167157e-15 
  161       6.212153119578e-10       1.347713896028e-13      -5.908716173623e-12       1.161980289020e-15       2.893198739888e-12       5.418327981928e-13      -3.299950089044e-15 
  162       6.251450359877e-10       1.335884484057e-13      -5.875523248186e-12       1.177994325497e-15       2.841413388313e-12       5.340339179482e-13      -3.233277019410e-15 
  163       6.290345513189e-10       1.323693777737e-13      -5.838808105917e-12       1.194146713270e-15       2.790718447972e-12       5.263611052102e-13      -3.166842849227e-15 
  164       6.328828173851e-10       1.311164634819e-13      -5.798550149974e-12       1.210437518258e-15       2.741114968379e-12       5.188158772648e-13      -3.100682850138e-15 
  165       6.366887772057e-10       1.298321020438e-13      -5.754730769390e-12       1.226866778289e-15       2.692600935861e-12       5.113993894965e-13      -3.034831646668e-15 
